Numero,Nombre,Frecuencia,DeCadaMil
1,MARIA CARMEN,641.875,"26,6"
2,MARIA,578.124,"23,9"
3,CARMEN,366.259,"15,2"
4,ANA MARIA,269.814,"11,2"
5,MARIA PILAR,258.063,"10,7"
6,LAURA,257.933,"10,7"
7,JOSEFA,254.603,"10,5"
8,ISABEL,253.995,"10,5"
9,MARIA DOLORES,252.315,"10,4"
10,MARIA TERESA,245.619,"10,2"
11,ANA,244.582,"10,1"
12,MARTA,227.510,"9,4"
13,CRISTINA,227.478,"9,4"
14,MARIA ANGELES,221.658,"9,2"
15,LUCIA,211.415,"8,7"
16,MARIA ISABEL,203.041,"8,4"
17,MARIA JOSE,202.688,"8,4"
18,FRANCISCA,199.351,"8,3"
19,ANTONIA,193.396,8
20,DOLORES,181.179,"7,5"
21,SARA,173.633,"7,2"
22,PAULA,173.613,"7,2"
23,ELENA,161.038,"6,7"
24,MARIA LUISA,154.134,"6,4"
25,RAQUEL,147.734,"6,1"
26,ROSA MARIA,146.262,"6,1"
27,MANUELA,138.726,"5,7"
28,PILAR,137.176,"5,7"
29,CONCEPCION,136.594,"5,7"
30,MARIA JESUS,135.557,"5,6"
31,MERCEDES,130.843,"5,4"
32,JULIA,126.308,"5,2"
33,BEATRIZ,122.917,"5,1"
34,ALBA,120.836,5
35,SILVIA,120.412,5
36,NURIA,120.228,5
37,IRENE,117.797,"4,9"
38,ROSARIO,113.368,"4,7"
39,PATRICIA,112.214,"4,6"
40,JUANA,112.164,"4,6"
41,TERESA,110.694,"4,6"
42,ENCARNACION,109.187,"4,5"
43,ANDREA,108.594,"4,5"
44,ROCIO,108.547,"4,5"
45,MONTSERRAT,107.393,"4,4"
46,MONICA,103.224,"4,3"
47,ALICIA,100.606,"4,2"
48,MARIA MAR,99.278,"4,1"
49,SANDRA,98.016,"4,1"
50,SONIA,97.965,"4,1"
51,MARINA,97.632,4
52,ROSA,95.994,4
53,ANGELA,95.816,4
54,SUSANA,95.392,"3,9"
55,NATALIA,94.487,"3,9"
56,YOLANDA,91.722,"3,8"
57,MARGARITA,86.081,"3,6"
58,SOFIA,85.039,"3,5"
59,CLAUDIA,84.688,"3,5"
60,MARIA JOSEFA,84.374,"3,5"
61,EVA,81.354,"3,4"
62,CARLA,80.635,"3,3"
63,MARIA ROSARIO,77.738,"3,2"
64,INMACULADA,77.614,"3,2"
65,MARIA MERCEDES,76.594,"3,2"
66,ANA ISABEL,76.152,"3,2"
67,NOELIA,74.038,"3,1"
68,ESTHER,73.772,"3,1"
69,VERONICA,71.753,3
70,NEREA,67.388,"2,8"
71,CAROLINA,67.163,"2,8"
72,DANIELA,66.821,"2,8"
73,INES,63.378,"2,6"
74,EVA MARIA,63.202,"2,6"
75,MARIA VICTORIA,63.145,"2,6"
76,ANGELES,62.996,"2,6"
77,MIRIAM,62.996,"2,6"
78,LORENA,61.883,"2,6"
79,MARIA ROSA,60.685,"2,5"
80,ANA BELEN,60.591,"2,5"
81,MARIA ELENA,60.519,"2,5"
82,MARTINA,59.910,"2,5"
83,VICTORIA,59.357,"2,5"
84,MARIA CONCEPCION,58.724,"2,4"
85,AMPARO,56.373,"2,3"
86,ALEJANDRA,54.726,"2,3"
87,MARIA ANTONIA,54.723,"2,3"
88,LIDIA,53.294,"2,2"
89,CELIA,52.856,"2,2"
90,CATALINA,52.195,"2,2"
91,MARIA NIEVES,51.197,"2,1"
92,FATIMA,50.359,"2,1"
93,AINHOA,50.338,"2,1"
94,OLGA,49.706,"2,1"
95,CONSUELO,48.583,2
96,CLARA,47.868,2
97,GLORIA,46.868,"1,9"
98,MARIA CRISTINA,46.836,"1,9"
99,MARIA SOLEDAD,46.381,"1,9"
100,ADRIANA,45.285,"1,9"
